lines,analysis,reference,aligner,method,filtering,mass
9437391,lowmap_calls,t2t,bwameth,emseq,nofilt,200ng
7937637,lowmap_calls,t2t,bismark,wgbs,nofilt,50ng
28211662,lowmap_calls,grch38,bismark,emseq,nofilt,200ng
11298328,lowmap_calls,grch38,bismark,wgbs,filt,50ng
15845705,lowmap_calls,grch38,bismark,emseq,filt,10ng
16132787,lowmap_calls,grch38,bismark,wgbs,nofilt,10ng
14036457,lowmap_calls,grch38,bwameth,emseq,filt,10ng
16749073,lowmap_calls,grch38,bwameth,wgbs,nofilt,200ng
10205249,lowmap_calls,grch38,bwameth,wgbs,filt,200ng
16168168,lowmap_calls,grch38,bwameth,emseq,filt,200ng
13718336,lowmap_calls,grch38,bwameth,wgbs,nofilt,10ng
21567925,lowmap_calls,grch38,bwameth,emseq,nofilt,10ng
19497748,lowmap_calls,grch38,bismark,wgbs,nofilt,200ng
4798214,lowmap_calls,t2t,bwameth,wgbs,filt,200ng
14121615,lowmap_calls,t2t,bismark,emseq,nofilt,200ng
17253093,lowmap_calls,grch38,bismark,emseq,filt,50ng
15465911,lowmap_calls,grch38,bwameth,emseq,filt,50ng
3827919,lowmap_calls,t2t,bwameth,wgbs,nofilt,10ng
23198114,lowmap_calls,grch38,bwameth,emseq,nofilt,50ng
5220946,lowmap_calls,t2t,bwameth,wgbs,nofilt,200ng
8830097,lowmap_calls,t2t,bwameth,emseq,filt,200ng
8253791,lowmap_calls,t2t,bwameth,emseq,filt,50ng
8994853,lowmap_calls,grch38,bismark,wgbs,filt,10ng
7581145,lowmap_calls,t2t,bwameth,emseq,nofilt,10ng
9370890,lowmap_calls,t2t,bismark,emseq,filt,10ng
7980676,lowmap_calls,grch38,bwameth,wgbs,filt,10ng
5182718,lowmap_calls,t2t,bwameth,wgbs,nofilt,50ng
3527966,lowmap_calls,t2t,bwameth,wgbs,filt,10ng
10715838,lowmap_calls,t2t,bismark,emseq,filt,50ng
4775697,lowmap_calls,t2t,bwameth,wgbs,filt,50ng
4661887,lowmap_calls,t2t,bismark,wgbs,filt,10ng
23893298,lowmap_calls,grch38,bwameth,emseq,nofilt,200ng
10165874,lowmap_calls,grch38,bwameth,wgbs,filt,50ng
19434314,lowmap_calls,grch38,bismark,wgbs,nofilt,50ng
17882080,lowmap_calls,grch38,bismark,emseq,filt,200ng
27602247,lowmap_calls,grch38,bismark,emseq,nofilt,50ng
6245358,lowmap_calls,t2t,bismark,wgbs,nofilt,10ng
6167914,lowmap_calls,t2t,bismark,wgbs,filt,50ng
6192782,lowmap_calls,t2t,bismark,wgbs,filt,200ng
13382914,lowmap_calls,t2t,bismark,emseq,nofilt,50ng
11319346,lowmap_calls,t2t,bismark,emseq,filt,200ng
16686733,lowmap_calls,grch38,bwameth,wgbs,nofilt,50ng
7094299,lowmap_calls,t2t,bwameth,emseq,filt,10ng
7974605,lowmap_calls,t2t,bismark,wgbs,nofilt,200ng
11331265,lowmap_calls,grch38,bismark,wgbs,filt,200ng
25807977,lowmap_calls,grch38,bismark,emseq,nofilt,10ng
8832480,lowmap_calls,t2t,bwameth,emseq,nofilt,50ng
11608149,lowmap_calls,t2t,bismark,emseq,nofilt,10ng
1026835313,calls,t2t,bwameth,wgbs,filt,10ng
1073473868,calls,t2t,bismark,wgbs,nofilt,50ng
1020903383,calls,grch38,bwameth,wgbs,nofilt,10ng
1015162263,calls,grch38,bwameth,wgbs,filt,10ng
1142040869,calls,grch38,bwameth,emseq,filt,200ng
1096370185,calls,grch38,bwameth,wgbs,nofilt,200ng
1089823473,calls,grch38,bwameth,wgbs,filt,200ng
1089631986,calls,grch38,bwameth,wgbs,filt,50ng
970075632,calls,grch38,bismark,wgbs,nofilt,10ng
1146848528,calls,grch38,bwameth,emseq,nofilt,10ng
1149060200,calls,grch38,bwameth,emseq,nofilt,50ng
1159470947,calls,t2t,bwameth,emseq,nofilt,200ng
1139315409,calls,grch38,bwameth,emseq,filt,10ng
1057524828,calls,grch38,bismark,wgbs,filt,50ng
975130542,calls,t2t,bismark,wgbs,filt,10ng
1155364553,calls,t2t,bwameth,emseq,filt,10ng
1102468567,calls,t2t,bwameth,wgbs,filt,200ng
1102891669,calls,t2t,bwameth,wgbs,nofilt,200ng
1102767571,calls,t2t,bwameth,wgbs,nofilt,50ng
1153124018,calls,grch38,bismark,emseq,nofilt,200ng
1102360244,calls,t2t,bwameth,wgbs,filt,50ng
976715079,calls,t2t,bismark,wgbs,nofilt,10ng
1076704629,calls,t2t,bismark,wgbs,nofilt,200ng
1074921614,calls,t2t,bismark,wgbs,filt,200ng
1155851878,calls,t2t,bwameth,emseq,nofilt,10ng
1141326700,calls,grch38,bwameth,emseq,filt,50ng
1142792159,calls,grch38,bismark,emseq,filt,200ng
1060599010,calls,grch38,bismark,wgbs,filt,200ng
1161314595,calls,t2t,bismark,emseq,filt,50ng
1148731012,calls,grch38,bismark,emseq,nofilt,10ng
1158592402,calls,t2t,bwameth,emseq,nofilt,50ng
1158863103,calls,t2t,bwameth,emseq,filt,200ng
1071703008,calls,t2t,bismark,wgbs,filt,50ng
1164858642,calls,t2t,bismark,emseq,nofilt,200ng
1152533199,calls,grch38,bismark,emseq,nofilt,50ng
1162054474,calls,t2t,bismark,emseq,filt,200ng
1142181703,calls,grch38,bismark,emseq,filt,50ng
1138766170,calls,grch38,bismark,emseq,filt,10ng
1157088741,calls,t2t,bismark,emseq,filt,10ng
1159327692,calls,t2t,bismark,emseq,nofilt,10ng
1096155756,calls,grch38,bwameth,wgbs,nofilt,50ng
962932926,calls,grch38,bismark,wgbs,filt,10ng
1027135554,calls,t2t,bwameth,wgbs,nofilt,10ng
1149767265,calls,grch38,bwameth,emseq,nofilt,200ng
1065664862,calls,grch38,bismark,wgbs,nofilt,50ng
1158013154,calls,t2t,bwameth,emseq,filt,50ng
1068769563,calls,grch38,bismark,wgbs,nofilt,200ng
1163983455,calls,t2t,bismark,emseq,nofilt,50ng
6543824,miscalls_lowmap,grch38,bwameth,wgbs,combined,200ng
7531468,miscalls_lowmap,grch38,bwameth,emseq,combined,10ng
422732,miscalls_lowmap,t2t,bwameth,wgbs,combined,200ng
607294,miscalls_lowmap,t2t,bwameth,emseq,combined,200ng
7137934,miscalls_lowmap,grch38,bismark,wgbs,combined,10ng
5737660,miscalls_lowmap,grch38,bwameth,wgbs,combined,10ng
407021,miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
299953,miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
409191,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
364660,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,10ng
7725130,miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
274979,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
451650,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,50ng
274846,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,10ng
263841,clinvar_miscalls_lowmap,grch38,bwameth,emseq,combined,200ng
10329582,miscalls_lowmap,grch38,bismark,emseq,combined,200ng
8135986,miscalls_lowmap,grch38,bismark,wgbs,combined,50ng
1583471,miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
10349154,miscalls_lowmap,grch38,bismark,emseq,combined,50ng
1769723,miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
252799,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
2667076,miscalls_lowmap,t2t,bismark,emseq,combined,50ng
2802269,miscalls_lowmap,t2t,bismark,emseq,combined,200ng
1781823,miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
578689,miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
8166483,miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
9962272,miscalls_lowmap,grch38,bismark,emseq,combined,10ng
7732203,miscalls_lowmap,grch38,bwameth,emseq,combined,50ng
486846,miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
435053,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,200ng
6520859,miscalls_lowmap,grch38,bwameth,wgbs,combined,50ng
2237259,miscalls_lowmap,t2t,bismark,emseq,combined,10ng
252530,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,200ng
410586,clinvar_miscalls_lowmap,grch38,bismark,wgbs,combined,200ng
252914,clinvar_miscalls,grch38,bwameth,wgbs,combined,200ng
449676,clinvar_miscalls_lowmap,grch38,bismark,emseq,combined,10ng
223177,clinvar_miscalls_lowmap,grch38,bwameth,wgbs,combined,10ng
253213,clinvar_miscalls,grch38,bwameth,wgbs,combined,50ng
223587,clinvar_miscalls,grch38,bwameth,wgbs,combined,10ng
6124,clinvar_miscalls,t2t,bwameth,wgbs,combined,200ng
8717,clinvar_miscalls,t2t,bwameth,emseq,combined,200ng
8880,clinvar_miscalls,t2t,bwameth,emseq,combined,50ng
5751,clinvar_miscalls,t2t,bwameth,wgbs,combined,50ng
20666,clinvar_miscalls,t2t,bismark,wgbs,combined,10ng
23988,clinvar_miscalls,t2t,bismark,wgbs,combined,200ng
20624,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,10ng
29195,clinvar_miscalls,t2t,bismark,emseq,combined,10ng
4119,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,10ng
29154,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,10ng
5736,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,50ng
23951,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,200ng
6109,clinvar_miscalls_lowmap,t2t,bwameth,wgbs,combined,200ng
8712,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,200ng
24148,clinvar_miscalls_lowmap,t2t,bismark,wgbs,combined,50ng
32566,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,50ng
31706,clinvar_miscalls_lowmap,t2t,bismark,emseq,combined,200ng
8113,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,10ng
31735,clinvar_miscalls,t2t,bismark,emseq,combined,200ng
8863,clinvar_miscalls_lowmap,t2t,bwameth,emseq,combined,50ng
24189,clinvar_miscalls,t2t,bismark,wgbs,combined,50ng
411115,clinvar_miscalls,grch38,bismark,wgbs,combined,200ng
275094,clinvar_miscalls,grch38,bwameth,emseq,combined,50ng
409704,clinvar_miscalls,grch38,bismark,wgbs,combined,50ng
4126,clinvar_miscalls,t2t,bwameth,wgbs,combined,10ng
32604,clinvar_miscalls,t2t,bismark,emseq,combined,50ng
8141,clinvar_miscalls,t2t,bwameth,emseq,combined,10ng
365258,clinvar_miscalls,grch38,bismark,wgbs,combined,10ng
451772,clinvar_miscalls,grch38,bismark,emseq,combined,50ng
263958,clinvar_miscalls,grch38,bwameth,emseq,combined,200ng
435187,clinvar_miscalls,grch38,bismark,emseq,combined,200ng
275008,clinvar_miscalls,grch38,bwameth,emseq,combined,10ng
449895,clinvar_miscalls,grch38,bismark,emseq,combined,10ng
5741120,miscalls,grch38,bwameth,wgbs,combined,10ng
6546712,miscalls,grch38,bwameth,wgbs,combined,200ng
7533119,miscalls,grch38,bwameth,emseq,combined,10ng
23714,resolved_calls,grch38,bwameth,wgbs,combined,10ng
41786,resolved_calls,grch38,bwameth,wgbs,combined,200ng
423102,miscalls,t2t,bwameth,wgbs,combined,200ng
1584537,miscalls,t2t,bismark,wgbs,combined,10ng
407327,miscalls,t2t,bwameth,wgbs,combined,50ng
7733500,miscalls,grch38,bwameth,emseq,combined,50ng
1783015,miscalls,t2t,bismark,wgbs,combined,200ng
487325,miscalls,t2t,bwameth,emseq,combined,10ng
90183,resolved_calls,grch38,bwameth,emseq,combined,10ng
10331859,miscalls,grch38,bismark,emseq,combined,200ng
