lines,analysis,reference,aligner,method,filtering,mass
9345326,lowmap_calls,grch38,bismark,wgbs,filt,10ng
6384312,lowmap_calls,t2t,bismark,wgbs,filt,50ng
9620834,lowmap_calls,t2t,bismark,emseq,filt,10ng
8436698,lowmap_calls,t2t,bwameth,emseq,filt,50ng
8207914,lowmap_calls,t2t,bismark,wgbs,nofilt,200ng
8169393,lowmap_calls,t2t,bismark,wgbs,nofilt,50ng
9623627,lowmap_calls,t2t,bwameth,emseq,nofilt,200ng
5344443,lowmap_calls,t2t,bwameth,wgbs,nofilt,200ng
23626264,lowmap_calls,grch38,bwameth,emseq,nofilt,50ng
6439112,lowmap_calls,t2t,bismark,wgbs,nofilt,10ng
11622714,lowmap_calls,grch38,bismark,wgbs,filt,50ng
5355972,lowmap_calls,t2t,bwameth,wgbs,nofilt,50ng
16517692,lowmap_calls,grch38,bismark,wgbs,nofilt,10ng
6410577,lowmap_calls,t2t,bismark,wgbs,filt,200ng
19933154,lowmap_calls,grch38,bismark,wgbs,nofilt,200ng
3924185,lowmap_calls,t2t,bwameth,wgbs,nofilt,10ng
4921656,lowmap_calls,t2t,bwameth,wgbs,filt,200ng
11867311,lowmap_calls,t2t,bismark,emseq,nofilt,10ng
10513702,lowmap_calls,grch38,bwameth,wgbs,filt,200ng
4841277,lowmap_calls,t2t,bismark,wgbs,filt,10ng
26249714,lowmap_calls,grch38,bismark,emseq,nofilt,10ng
14411021,lowmap_calls,grch38,bwameth,emseq,filt,10ng
17657383,lowmap_calls,grch38,bismark,emseq,filt,50ng
28658491,lowmap_calls,grch38,bismark,emseq,nofilt,200ng
19866528,lowmap_calls,grch38,bismark,wgbs,nofilt,50ng
4945850,lowmap_calls,t2t,bwameth,wgbs,filt,50ng
21942752,lowmap_calls,grch38,bwameth,emseq,nofilt,10ng
10546861,lowmap_calls,grch38,bwameth,wgbs,filt,50ng
3624193,lowmap_calls,t2t,bwameth,wgbs,filt,10ng
13658510,lowmap_calls,t2t,bismark,emseq,nofilt,50ng
9045793,lowmap_calls,t2t,bwameth,emseq,nofilt,50ng
9044755,lowmap_calls,t2t,bwameth,emseq,filt,200ng
11736906,lowmap_calls,grch38,bismark,wgbs,filt,200ng
13977520,lowmap_calls,grch38,bwameth,wgbs,nofilt,10ng
17154971,lowmap_calls,grch38,bwameth,wgbs,nofilt,200ng
18319823,lowmap_calls,grch38,bismark,emseq,filt,200ng
16993010,lowmap_calls,grch38,bwameth,wgbs,nofilt,50ng
8308554,lowmap_calls,grch38,bwameth,wgbs,filt,10ng
28006886,lowmap_calls,grch38,bismark,emseq,nofilt,50ng
10980521,lowmap_calls,t2t,bismark,emseq,filt,50ng
16588773,lowmap_calls,grch38,bwameth,emseq,filt,200ng
16277306,lowmap_calls,grch38,bismark,emseq,filt,10ng
24320803,lowmap_calls,grch38,bwameth,emseq,nofilt,200ng
14399103,lowmap_calls,t2t,bismark,emseq,nofilt,200ng
7778082,lowmap_calls,t2t,bwameth,emseq,nofilt,10ng
15887212,lowmap_calls,grch38,bwameth,emseq,filt,50ng
7289606,lowmap_calls,t2t,bwameth,emseq,filt,10ng
11585373,lowmap_calls,t2t,bismark,emseq,filt,200ng
33274348,clinvar_calls,t2t,bismark,wgbs,filt,10ng
37241961,clinvar_calls,t2t,bwameth,wgbs,filt,50ng
39965645,clinvar_calls,t2t,bismark,emseq,filt,50ng
33295668,clinvar_calls,t2t,bismark,wgbs,nofilt,10ng
39720108,clinvar_calls,t2t,bwameth,emseq,nofilt,200ng
36719867,clinvar_calls,t2t,bismark,wgbs,nofilt,200ng
34471811,clinvar_calls,t2t,bwameth,wgbs,filt,10ng
39648433,clinvar_calls,t2t,bwameth,emseq,nofilt,50ng
