calls,analysis,reference,aligner,method,filtering,mass,miscalls,joinkey,clinvar_lines
1073473868,calls,t2t,bismark,wgbs,nofilt,50ng,1770860,t2t_bismark_wgbs_50ng,24189
1020903383,calls,grch38,bwameth,wgbs,nofilt,10ng,5741120,grch38_bwameth_wgbs_10ng,223587
1096370185,calls,grch38,bwameth,wgbs,nofilt,200ng,6546712,grch38_bwameth_wgbs_200ng,252914
970075632,calls,grch38,bismark,wgbs,nofilt,10ng,7142706,grch38_bismark_wgbs_10ng,365258
1146848528,calls,grch38,bwameth,emseq,nofilt,10ng,7533119,grch38_bwameth_emseq_10ng,275008
1149060200,calls,grch38,bwameth,emseq,nofilt,50ng,7733500,grch38_bwameth_emseq_50ng,275094
1159470947,calls,t2t,bwameth,emseq,nofilt,200ng,607844,t2t_bwameth_emseq_200ng,8717
1102891669,calls,t2t,bwameth,wgbs,nofilt,200ng,423102,t2t_bwameth_wgbs_200ng,6124
1102767571,calls,t2t,bwameth,wgbs,nofilt,50ng,407327,t2t_bwameth_wgbs_50ng,5751
1153124018,calls,grch38,bismark,emseq,nofilt,200ng,10331859,grch38_bismark_emseq_200ng,435187
976715079,calls,t2t,bismark,wgbs,nofilt,10ng,1584537,t2t_bismark_wgbs_10ng,20666
1076704629,calls,t2t,bismark,wgbs,nofilt,200ng,1783015,t2t_bismark_wgbs_200ng,23988
1155851878,calls,t2t,bwameth,emseq,nofilt,10ng,487325,t2t_bwameth_emseq_10ng,8141
1148731012,calls,grch38,bismark,emseq,nofilt,10ng,9964842,grch38_bismark_emseq_10ng,449895
1158592402,calls,t2t,bwameth,emseq,nofilt,50ng,579248,t2t_bwameth_emseq_50ng,8880
1164858642,calls,t2t,bismark,emseq,nofilt,200ng,2804168,t2t_bismark_emseq_200ng,31735
1152533199,calls,grch38,bismark,emseq,nofilt,50ng,10351496,grch38_bismark_emseq_50ng,451772
1159327692,calls,t2t,bismark,emseq,nofilt,10ng,2238951,t2t_bismark_emseq_10ng,29195
1096155756,calls,grch38,bwameth,wgbs,nofilt,50ng,6523770,grch38_bwameth_wgbs_50ng,253213
1027135554,calls,t2t,bwameth,wgbs,nofilt,10ng,300241,t2t_bwameth_wgbs_10ng,4126
1149767265,calls,grch38,bwameth,emseq,nofilt,200ng,7726396,grch38_bwameth_emseq_200ng,263958
1065664862,calls,grch38,bismark,wgbs,nofilt,50ng,8140034,grch38_bismark_wgbs_50ng,409704
1068769563,calls,grch38,bismark,wgbs,nofilt,200ng,8170553,grch38_bismark_wgbs_200ng,411115
1163983455,calls,t2t,bismark,emseq,nofilt,50ng,2668860,t2t_bismark_emseq_50ng,32604
